DECK DIGEST — generated from myanki2/*.yaml. Read this instead of the yaml.
724 notes, 720 distinct word values.

Columns: id | file | word | markers | FULL back, every line, joined by ` // `
A word is a LEMMA only if it appears in the `word` column below.
Appearing inside another card's sentence does NOT make it a lemma.

The back column is COMPLETE — five cards (comer, estar, gostar de,
poder, ver) carry TWO sentence pairs, and the (A1) marker is on the
second. Quote from this column, not from memory.
====================================================================================================
0001 | verbs | abanar | A1 | Eu abano a cabeça. // I shake my head.  (A1)
0002 | verbs | abraçar | A1 | Eu abraço a minha mãe. // I hug my mother.  (A1)
0003 | verbs | abrir | ch.5 | Podia abrir a janela? // Could you open the window?  (ch.5)
0004 | verbs | abrir-se | A1 | A porta abre-se devagar. // The door opens slowly.  (A1)
0005 | verbs | acabar | ch.5 | Eu tento acabar o exercício. // I try to finish the exercise.  (ch.5)
0006 | verbs | acalmar-se | A1 | Eu acalmo-me com música. // I calm down with music.  (A1)
0007 | verbs | aceitar | A1 | Eu aceito o convite. // I accept the invitation.  (A1)
0008 | verbs | acender | A1 | Eu acendo a luz. // I turn on the light.  (A1)
0009 | verbs | achar | ch.13 | Eu acho que este restaurante é bom. // I think that this restaurant is good.  (ch.13)
0010 | verbs | acordar | ch.6 | O João acorda num lugar estranho. // João wakes up in a strange place.  (ch.6)
0011 | verbs | acreditar em | ch.27 | Eu acredito no político. // I believe the politician.  (ch.27)
0012 | verbs | adorar | ch.7 | Eu adoro marisco. // I love seafood.  (ch.7)
0013 | verbs | afundar | A1 | O barco afunda no mar. // The boat sinks in the sea.  (A1)
0014 | verbs | agarrar-se a | ch.23 | O passageiro agarra-se ao banco. // The passenger holds on to the seat.  (ch.23)
0015 | verbs | aguentar | A1 | Eu não aguento este calor. // I can't stand this heat.  (A1)
0016 | verbs | ajudar | ch.13 | Eu ajudo o Pedro a limpar a casa. // I help Pedro clean the house.  (ch.13)
0017 | verbs | almoçar | A1 | Eu almoço ao meio-dia. // I have lunch at noon.  (A1)
0018 | verbs | alucinar | A1 | Ele alucina com a febre. // He hallucinates from the fever.  (A1)
0019 | verbs | alugar | A1 | Eu quero alugar um carro. // I want to rent a car.  (A1)
0020 | verbs | amar | A1 | Eu amo a minha família. // I love my family.  (A1)
0021 | verbs | andar até a | ch.4 | Eu ando até à cozinha. // I walk to the kitchen.  (ch.4)
0022 | verbs | apaixonar-se por | ch.28 | O Joaquim apaixona-se por todas as mulheres. // Joaquim falls in love with all women.  (ch.28)
0023 | verbs | apanhar | A1 | Eu apanho o autocarro. // I catch the bus.  (A1)
0024 | verbs | aparecer | A1 | O sol aparece de manhã. // The sun appears in the morning.  (A1)
0025 | verbs | apontar para | A1 | Ele aponta para a porta. // He points at the door.  (A1)
0026 | verbs | aprender | ch.5 | Eu aprendo português há um ano. // I have been learning Portuguese for a year.  (ch.5)
0027 | verbs | aproximar-se de | ch.11 | Eu aproximo-me da casa. // I approach the house.  (ch.11)
0028 | verbs | aquecer | A1 | Eu aqueço a sopa. // I warm up the soup.  (A1)
0029 | verbs | assinar | A1 | Eu assino o documento. // I sign the document.  (A1)
0030 | verbs | assistir a | A1 | Eu assisto ao jogo. // I watch the game.  (A1)
0031 | verbs | aterrar | A1 | O avião aterra às três. // The plane lands at three.  (A1)
0032 | verbs | atravessar | A1 | Eu atravesso a rua. // I cross the street.  (A1)
0033 | verbs | bater | A1 | Alguém bate à porta. // Someone knocks at the door.  (A1)
0034 | verbs | beber | ch.4 | Eles bebem o vinho. // They drink the wine.  (ch.4)
0035 | verbs | brincar | A1 | As crianças brincam no parque. // The children play in the park.  (A1)
0036 | verbs | cair em | A1 | O livro cai no chão. // The book falls on the floor.  (A1)
0037 | verbs | chamar | A1 | Eu chamo o táxi. // I call the taxi.  (A1)
0038 | verbs | chamar-se | A1 | Eu chamo-me João. // My name is João. (lit. I call myself João)  (A1)
0039 | verbs | chegar a | A1 | Eu chego a casa às seis. // I arrive home at six.  (A1)
0040 | verbs | cheirar a | A1 | A cozinha cheira a café. // The kitchen smells like coffee.  (A1)
0041 | verbs | chover | A1 | Hoje chove muito. // Today it rains a lot.  (A1)
0042 | verbs | começar | A1 | A aula começa às nove. // The class starts at nine.  (A1)
0043 | verbs | comer | A1,ch.18 | Eu como tudo. // I eat everything.  (ch.18) // Eu como pão ao pequeno-almoço. // I eat bread for breakfast.  (A1)
